date,delta,rbar,F_mineig,p
2024-07-01,0.24210879316975978,0.20846044492702787,4.546200747638855e-05,483
2024-08-01,0.23639467768432618,0.20778509022355712,5.000803918165188e-05,484
2024-09-03,0.22491533469282954,0.21840357996078727,5.1571516725138194e-05,484
2024-10-01,0.2203413055978159,0.2110952531861602,5.448405268812262e-05,483
2024-11-01,0.23303847456054388,0.1981292783562467,4.721167247979039e-05,484
2024-12-02,0.25954088385287033,0.1831807201169161,5.091631237920205e-05,485
2025-01-02,0.27048785870039344,0.18786860050920992,5.206899382598585e-05,487
2025-02-03,0.2624964347416592,0.18605997765718085,5.969806629187082e-05,487
2025-03-03,0.2536271767346641,0.17857666110801332,6.885449761144934e-05,487
2025-04-01,0.2248955480758932,0.19052809759740466,7.004417615020835e-05,489
2025-05-01,0.34649395563073193,0.2942879688447374,6.86072924960424e-05,489
2025-06-02,0.30772269650746653,0.3008763331522148,7.382743873457856e-05,490
2025-07-01,0.29950416457814877,0.30351864115687055,7.506927995741883e-05,490
2025-08-01,0.30099472309501407,0.3013977648793503,7.734965381600502e-05,493
2025-09-02,0.31603225611911406,0.29499159008640724,7.54599857522956e-05,495
2025-10-01,0.3357890323247661,0.2916262030047919,7.636240611269737e-05,495
2025-11-03,0.3227362693823033,0.2893655196459606,7.669156466895549e-05,494
2025-12-01,0.3123781375918264,0.29698703491321665,7.734079608480321e-05,493
2026-01-02,0.3121572038409274,0.288986425347052,7.654373798396924e-05,495
2026-02-02,0.31891412010024955,0.2843750671835157,7.018863564226492e-05,496
2026-03-02,0.3174469513962094,0.2737023918524525,7.365390212107655e-05,498
2026-04-01,0.3356845834329483,0.2683988252282536,6.835333039710325e-05,497
2026-05-01,0.20772647932540295,0.15811683648682728,7.249158813023167e-05,498
2026-06-01,0.2063074322723562,0.1368515498343093,6.997394427976139e-05,500
