uni,n,k,date,p,V_full,V_flat,V_proj,rot_cv,ctl_relexc,lam_spread
large,252,3,2024-10-01,496,0.10640096852238802,0.10912526455726912,0.11285246904583066,0.029843053014887082,-0.15920608347255283,8.76421949134333
large,252,3,2024-11-01,497,0.12354449339039421,0.12424601992489975,0.12994322450787138,0.015289653924426933,-0.11748576909535158,8.232423374951903
large,252,3,2024-12-02,497,0.07951779594295175,0.07994617054806606,0.07884641241602504,0.00691152923196771,0.4710341192648877,5.1248180392845475
large,252,3,2025-01-02,497,0.12132197637204067,0.11860301827859722,0.10939978273373956,0.01970356200679787,0.029006595585336914,5.089753828118043
large,252,3,2025-02-03,497,0.1040930902479622,0.102336199637777,0.09969302606357851,0.01989003198422924,-0.16493897342453512,5.156311640394264
large,252,3,2025-03-03,497,0.10179136188595073,0.1016062430179868,0.09957811760142309,0.004586524745670432,0.5677750644603314,5.2497890729245205
large,252,3,2025-04-01,499,0.29936907015126984,0.29932890763928577,0.28999816024274794,0.006254105403089369,0.35362248765619975,5.756926196865087
large,252,3,2025-05-01,499,0.20100183907971012,0.19536288577965577,0.18424688606705297,0.07010070276153768,-0.23831423840659005,10.47738301764726
large,252,3,2025-06-02,499,0.10569688232295547,0.10347909599914992,0.11568608705161783,0.03463639026271342,-0.02075541418160254,10.624455672466153
large,252,3,2025-07-01,499,0.09660230997729495,0.0933413881451482,0.12666265802764118,0.07883207957427169,0.06690772616376228,9.948661743043742
large,252,3,2025-08-01,499,0.12558972606981134,0.12420026977114466,0.12683421351759458,0.04401163769730556,-0.1503835434081484,9.18721198844736
large,252,3,2025-09-02,499,0.08903499074785962,0.08860928184387522,0.09834215666202337,0.04397108411009175,-0.03169960225762469,8.817850891962069
large,252,3,2025-10-01,499,0.1045322112762198,0.10517438431267985,0.09623590375694467,0.06952645718391741,0.03625872606278602,8.616770525571235
large,252,3,2025-11-03,499,0.14911627321132828,0.1509693311230933,0.13222332330911338,0.04140837890195085,-0.19850202302312858,8.618956005021492
large,252,3,2025-12-01,499,0.1141246299329076,0.11665877165789285,0.14455206601537707,0.038449783765605,-0.29983985332014307,9.600427364866672
large,252,3,2026-01-02,499,0.17669541258228505,0.17711844978849475,0.1567510980733761,0.06870337388953503,-0.39905822599030805,9.83271092361093
large,252,3,2026-02-02,499,0.2658157212770917,0.2653953983907809,0.2566730121908072,0.0718085425968401,-0.6074947561431658,9.989480878385974
large,252,3,2026-03-02,500,0.14465056453406006,0.14569729775559487,0.14266262917456699,0.02252418874870382,-0.07885775331320455,8.937301968096744
large,252,3,2026-04-01,500,0.12194539494688877,0.12039584147289771,0.11645781872090268,0.017045591465832892,-0.028312811449111686,8.004045415114101
