uni,n,k,date,p,V1,stab1,V3,stab3,V6,stab6,V12,stab12
large,252,3,2023-07-03,493,0.13655434383922668,0.9999999999999994,0.12653245858734022,0.9651476970426438,0.12683686489212506,0.9557344695641183,0.12054769071900172,0.9401878646560178
large,252,3,2023-08-01,493,0.12268653616228278,1.0,0.12486327744747186,0.7766089928313344,0.11870301410516378,0.8221090116459537,0.11672015512444833,0.881342308117378
large,252,3,2023-09-01,493,0.1240451972451803,0.9999999999999991,0.12170349645493614,0.6788661625193463,0.09572822633780637,0.6749938688504332,0.09501786315593233,0.8087445077634192
large,252,3,2023-10-02,493,0.12280143430950444,0.9999999999999987,0.12405160154692137,0.9285330338474366,0.14682492529193178,0.5335271654365601,0.15314637833004877,0.7326210842223235
large,252,3,2023-11-01,493,0.10021150022297476,0.9999999999999993,0.10886561311461919,0.9846683250610033,0.10741224437148211,0.6515878169218016,0.11832047042512482,0.6538604520420677
large,252,3,2023-12-01,493,0.16946919395312432,0.9999999999999982,0.17835834851829713,0.9833211532817365,0.18604359273337295,0.7996733611324622,0.1721970382643566,0.5746638786950022
large,252,3,2024-01-02,494,0.09261821803042314,0.9999999999999988,0.0965329444846179,0.9659076008787568,0.10543917933707427,0.9303163570219332,0.1056486498269427,0.5172022788195622
large,252,3,2024-02-01,494,0.07486318374324155,0.9999999999999992,0.06768499510422414,0.9354743345209799,0.0719100873369364,0.9226331858594924,0.09066980445479744,0.5498750133474174
large,252,3,2024-03-01,494,0.08223434691689813,0.999999999999999,0.08476627074000237,0.9639168189081163,0.085377845261042,0.9059996269959141,0.09761857057574173,0.604268867250102
large,252,3,2024-04-01,494,0.07426693521520962,0.9999999999999996,0.06833306781946717,0.9299391219060853,0.06728865082903078,0.913113977461727,0.06711410009972697,0.6699190317624378
large,252,3,2024-05-01,494,0.09673796966915839,1.0000000000000004,0.09600993953371474,0.9469463572094958,0.09637499956307799,0.9287042863771333,0.10364094414445844,0.7413236116459029
large,252,3,2024-06-03,494,0.06895086488031037,0.9999999999999983,0.06610612488430548,0.9809024629800622,0.06670740348232945,0.9180300165173526,0.0796788600290428,0.8130519269628596
large,252,3,2024-07-01,494,0.08754223073780967,0.9999999999999977,0.08469066479833558,0.8813324845723116,0.0891755535460088,0.8429448572068536,0.10799120919562986,0.8631537942820344
large,252,3,2024-08-01,494,0.11917617360354137,0.9999999999999986,0.11289245219542782,0.8857132507101273,0.10042074312289294,0.8230223169364224,0.1050242309999439,0.8423781424037767
large,252,3,2024-09-03,494,0.07510112149704909,0.999999999999998,0.07286412302083618,0.9472384079821351,0.0819370982915236,0.8264483005486042,0.08487014457794784,0.8151622720302043
large,252,3,2024-10-01,494,0.10615931767274722,0.9999999999999988,0.10305216589962886,0.9789643347941911,0.09884719536330802,0.8318568737367952,0.09384330300268022,0.7895135005849809
large,252,3,2024-11-01,494,0.12206145729655347,0.999999999999999,0.09115335651575439,0.6994187589318321,0.10528712545573943,0.7415168222440526,0.10302944975028314,0.7316421322950613
large,252,3,2024-12-02,495,0.08009941608468123,0.9999999999999983,0.07819414308509255,0.5612611570620024,0.09452403071721106,0.6360991764345951,0.08138874197443882,0.6615796953009617
large,252,3,2025-01-02,495,0.10512877280746911,1.0,0.10410852957591438,0.8118298605773463,0.1274900100634559,0.5295769849640444,0.1248458499709038,0.5925815503604623
large,252,3,2025-02-03,495,0.09472301967663298,0.9999999999999981,0.09289271803801502,0.9797568877551179,0.09577058668200923,0.5837880115790641,0.09798254259267776,0.5380321687200026
large,252,3,2025-03-03,495,0.0999924174139827,0.9999999999999993,0.09759979401235329,0.9803032581433976,0.09656500411739842,0.7164455015245098,0.11089327989422047,0.4806467454525143
large,252,3,2025-04-01,495,0.2892611325829584,0.9999999999999991,0.2893702080230949,0.9762389778510998,0.2930694059604166,0.8486123636664221,0.2673886277278051,0.43901079204288596
large,252,3,2025-05-01,496,0.16964416936627855,0.9999999999999992,0.15178495672214884,0.9573016717205493,0.13795771165839366,0.924767778054552,0.1399173219052191,0.4918424257696773
large,252,3,2025-06-02,496,0.10947486427309006,0.999999999999998,0.13029497312873567,0.941436678353159,0.1324289732364701,0.8940203960224372,0.11283014292770158,0.5393437322076453
large,252,3,2025-07-01,496,0.11582309099911874,0.9999999999999998,0.1291504385374276,0.9624906392056835,0.12642419012614245,0.8675700635274464,0.10738652767537502,0.5823132151128173
large,252,3,2025-08-01,496,0.11729659129901175,0.9999999999999992,0.11690564407925336,0.9824582888717804,0.12034615230133153,0.8631140786878314,0.11510599683421563,0.6229449819364432
large,252,3,2025-09-02,496,0.09101975776019205,0.9999999999999996,0.09143855891582804,0.9911821172254125,0.09033868676796979,0.8983646537606632,0.08672519160582617,0.6679910363984175
large,252,3,2025-10-01,497,0.08821590927813773,0.9999999999999993,0.0903684549883517,0.9911692182629934,0.0887310882108835,0.9492269863838732,0.08857063505935284,0.7219846284014722
large,252,3,2025-11-03,497,0.12568471409822438,0.9999999999999993,0.11889895740562526,0.990349417456451,0.11332148452839017,0.9759533610867277,0.0967520468335162,0.7821138482429973
large,252,3,2025-12-01,497,0.13427074116351279,0.999999999999999,0.1208684972849768,0.9782277457540449,0.11312916871346058,0.9739721570392128,0.10153957466185545,0.7947340867273615
large,252,3,2026-01-02,497,0.14071974550923655,0.9999999999999988,0.13968007720043008,0.9756180023678324,0.13638688477384747,0.9684878925796091,0.11717573327839288,0.8146635773762204
large,252,3,2026-02-02,497,0.22697242709091198,0.9999999999999998,0.23362016126897622,0.9888862663259544,0.21320116702448783,0.9623106723637448,0.1802869901682051,0.8437699249477544
