panel (3149, 6920) 2014-01-02 00:00:00 -> 2026-07-10 00:00:00
         baseline       baseline   1.476154 1.323121 -0.133982 0.572714  0.903440  0.000000
        cost_x0.5          costs   1.490800 1.331216 -0.133977 0.572714  0.918086  0.014646
        cost_x2.0          costs   1.447114 1.306904 -0.133992 0.572714  0.874401 -0.029039
        cost_x4.0          costs   1.390034 1.274371 -0.138616 0.572714  0.817321 -0.086119
      cost_+10bps          costs   1.334260 1.241712 -0.143481 0.572714  0.761547 -0.141894
      param_vt-20         params   1.222970 1.273122 -0.131979 0.572714  0.650256 -0.253184
      param_vt+20         params   1.534506 1.323642 -0.138609 0.572714  0.961793  0.058353
     param_slb-20         params   1.438401 1.303258 -0.132872 0.572714  0.865688 -0.037752
     param_slb+20         params   1.463718 1.306127 -0.135591 0.572714  0.891004 -0.012436
     param_cap-20         params   1.127729 1.320977 -0.112090 0.572714  0.555015 -0.348425
     param_cap+20         params   1.477798 1.323128 -0.134109 0.572714  0.905084  0.001644
         delay_1d   signal_delay   1.578140 1.368649 -0.134372 0.572714  1.005426  0.101986
         delay_2d   signal_delay   1.588836 1.376008 -0.145379 0.572714  1.016123  0.112683
         delay_5d   signal_delay   1.140079 1.097224 -0.143506 0.572714  0.567365 -0.336075
        rshift_1d    rebal_shift   1.861123 1.484384 -0.131410 0.572714  1.288410  0.384969
        rshift_3d    rebal_shift   1.428097 1.282223 -0.127730 0.572714  0.855384 -0.048056
        exec_open exec_timestamp   1.508495 1.341536 -0.131134 0.572714  0.935781  0.032341
     miss_5pct_s0  missed_trades   1.488943 1.329483 -0.133982 0.572714  0.916229  0.012789
     miss_5pct_s1  missed_trades   1.471859 1.320432 -0.133977 0.572714  0.899145 -0.004295
     miss_5pct_s2  missed_trades   1.468544 1.318454 -0.133982 0.572714  0.895830 -0.007610
     miss_5pct_s4  missed_trades   1.514460 1.342321 -0.133982 0.572714  0.941746  0.038306
     miss_5pct_s7  missed_trades   1.428430 1.291471 -0.133982 0.572714  0.855716 -0.047724
    miss_10pct_s0  missed_trades   1.429612 1.290767 -0.133982 0.572714  0.856899 -0.046541
    miss_10pct_s1  missed_trades   1.458518 1.311829 -0.133989 0.572714  0.885804 -0.017636
    miss_10pct_s2  missed_trades   1.458204 1.311762 -0.133948 0.572714  0.885490 -0.017950
    miss_10pct_s4  missed_trades   1.497700 1.333938 -0.133982 0.572714  0.924987  0.021547
    miss_10pct_s7  missed_trades   1.456335 1.310260 -0.135408 0.572714  0.883622 -0.019818
     lag_10pct_s0     random_lag   1.428537 1.289989 -0.133982 0.572714  0.855823 -0.047617
     lag_10pct_s1     random_lag   1.458830 1.312046 -0.133989 0.572714  0.886117 -0.017323
     lag_10pct_s2     random_lag   1.457375 1.311372 -0.133948 0.572714  0.884662 -0.018778
     lag_10pct_s4     random_lag   1.508479 1.339609 -0.133982 0.572714  0.935765  0.032325
     lag_10pct_s7     random_lag   1.482688 1.324200 -0.134476 0.572714  0.909974  0.006534
missobs_0.5pct_s0    missing_obs   1.370620 1.292187 -0.115482 0.572714  0.797906 -0.105534
missobs_0.5pct_s1    missing_obs   1.232152 1.148213 -0.127073 0.572714  0.659439 -0.244001
