ticker,delisted_utc,composite_figi,polygon_name,polygon_found
TOY,2005-07-22,,TOYS R US INC (HLDG CO),True
TRB,2007-12-21,,TRIBUNE COMPANY,True
TRW,2015-05-18,,TRW AUTOMOTIVE HOLDINGS CORP,True
TSG,2020-05-06,BBG0073FBGQ1,The Stars Group Inc.,True
TUP,2024-09-19,BBG000GQ1G25,Tupperware Brands Corporation,True
TX,,,,False
TXU,2007-10-11,,TXU CORP,True
UAWGQ,,,,False
UCC,,,,False
UCL,,,,False
UCM,,,,False
UIS,,,,False
UK,,,,False
UMG,,,,False
UN,,,,False
UPC,,,,False
UPR,,,,False
USBC,,,,False
USH,,,,False
USHC,,,,False
USS,2008-11-06,,U.S. SHIPPING PARTNERS L.P. COM UTS REPTG LTD PARTNERS L.P.,True
UST,,,,False
USW,,,,False
UVN,2007-03-30,,UNIVISION COMMUNICATIONS CL-A,True
VAT,,,,False
VO,,,,False
VSTNQ,,,,False
VTSS,2015-04-29,,VITESSE SEMICONDUCTOR CORPORATION COMMON STOCK,True
WAI,,,,False
WAMUQ,,,,False
WB,,,,False
WCOEQ,,,,False
WFT,2019-05-14,,Weatherford International plc,True
WLA,,,,False
WLL,2022-07-05,BBG00WYYC600,Whiting Petroleum Corporation,True
WLP,2014-12-03,,WELLPOINT HEALTH NETWORKS INC (NEW),True
WMX,,,,False
WNDXQ,,,,False
WWY,2008-10-07,,WRIGLEY WILLIAM JR,True
WYE,2009-10-16,,WYETH,True
XTO,2010-06-28,,XTO ENERGY INC.,True
YNR,,,,False
YRCW,2021-02-08,BBG00C0L8K58,"YRC Worldwide, Inc.",True
