ticker,delisted_utc,composite_figi,polygon_name,polygon_found
SFA,2010-10-05,,MERRILL LYNCH & CO STRATEGIC ACCELERATED REDEMPTION SECS LKD,True
SFS,2019-06-21,,"Smart & Final Stores, Inc.",True
SHN,2015-02-02,,BANK AMERICA CORP MKT INDEX TARGET TM SEC (MITTS) LKD DJ IND,True
SLR,2007-10-02,,SOLECTRON CORP,True
SMI,,BBG012G3J7W9,VanEck HIP Sustainable Muni ETF,True
SMS,2013-10-11,BBG000BFDMB8,SIMS METAL MANAGEMENT LTD ADS (EA REPSTG 1 ORD SHS),True
SNV,2026-01-02,BBG000BLNZL4,Synovus Financial Corp.,True
SOTR,2004-11-01,,SOUTHRUST CORP,True
SOV,2009-01-30,,SOVEREIGN BANCORP INC,True
SRR,2007-08-20,,STRIDE-RITE CORP,True
STO,2018-05-17,,Statoil Asa,True
STR,2025-08-19,BBG01C5FH7P2,Sitio Royalties Corp.,True
SXCL,2016-04-01,,STEEL EXCEL INC. COMMON STOCK,True
TA,2023-05-16,BBG000F71CC6,TravelCenters of America LLC,True
TIE,2013-01-09,,TITANIUM METALS CORP(NEW),True
TIN,2012-02-14,,TEMPLE INLAND INC,True
TLAB,2013-12-05,,TELLABS INC,True
TNB,2012-05-17,,THOMAS & BETTS CORPORATION,True
TOY,2005-07-22,,TOYS R US INC (HLDG CO),True
TRB,2007-12-21,,TRIBUNE COMPANY,True
TRW,2015-05-18,,TRW AUTOMOTIVE HOLDINGS CORP,True
TSG,2020-05-06,BBG0073FBGQ1,The Stars Group Inc.,True
TUP,2024-09-19,BBG000GQ1G25,Tupperware Brands Corporation,True
TXU,2007-10-11,,TXU CORP,True
USS,2008-11-06,,U.S. SHIPPING PARTNERS L.P. COM UTS REPTG LTD PARTNERS L.P.,True
UVN,2007-03-30,,UNIVISION COMMUNICATIONS CL-A,True
VTSS,2015-04-29,,VITESSE SEMICONDUCTOR CORPORATION COMMON STOCK,True
WFT,2019-05-14,,Weatherford International plc,True
WLL,2022-07-05,BBG00WYYC600,Whiting Petroleum Corporation,True
WWY,2008-10-07,,WRIGLEY WILLIAM JR,True
YRCW,2021-02-08,BBG00C0L8K58,"YRC Worldwide, Inc.",True
